Year,State,District ID,District Name,Grade range of responsibility,Total Population,Relevant Ages 5 to 17 Population,Relevant Ages 5 to 17 in Families in Poverty,Relevant age 5 to 17 Ratio,Relevant Ages 5 to 17 Ratio LB 90%,Relevant Ages 5 to 17 Ratio UB 90%,Map
2019,1,100810,Coffee County School District (AL),PK-12,"19,622","3,453",737,21.3,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100810&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100840,Colbert County School District (AL),PK-12,"23,977","3,592",617,17.2,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100840&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100870,Conecuh County School District (AL),PK-12,"12,067","1,834",597,32.6,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100870&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100900,Coosa County School District (AL),KG-12,"10,663","1,284",339,26.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100900&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100930,Covington County School District (AL),PK-12,"21,677","3,408",757,22.2,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100930&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100960,Crenshaw County School District (AL),PK-12,"13,772","2,345",542,23.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100960&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,100990,Cullman City School District (AL),KG-12,"15,482","2,363",403,17.1,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0100990&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101020,Cullman County School District (AL),PK-12,"68,263","11,269","1,772",15.7,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101020&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101050,Dale County School District (AL),KG-12,"14,918","2,333",578,24.8,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101050&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101080,Daleville City School District (AL),KG-12,"11,262","1,734",468,27,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101080&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
2019,1,101110,Dallas County School District (AL),KG-12,"19,587","3,359","1,056",31.4,NA,NA,https://data.census.gov/cedsci/map?q=&mode=selection&layer=VT_2019_970_00_PY_D1&syear=2020&g=9700000US0101110&table=B00001&tid=ACSDT1Y2018.B00001&vintage=2020&y=2020
